ZONE T="boundary0"
-3.36 0 
-3.192 0 
-3.024 0 
-2.856 0 
-2.688 0 
-2.52 0 
-2.352 0 
-2.184 0 
-2.016 0 
-1.848 0 
-1.68 0 
-1.512 0 
-1.344 0 
-1.176 0 
-1.008 0 
-0.84 0 
-0.672 0 
-0.504 0 
-0.336 0 
-0.168 0 
-4.44089e-16 0 
0.168 0 
0.336 0 
0.504 0 
0.672 0 
0.84 0 
1.008 0 
1.176 0 
1.344 0 
1.512 0 
1.68 0 
1.848 0 
2.016 0 
2.184 0 
2.352 0 
2.52 0 
2.688 0 
2.856 0 
3.024 0 
3.192 0 
3.36 0 
ZONE T="boundary1"
3.36 0 
3.36 0.12825 
3.36 0.2565 
3.36 0.38475 
3.36 0.513 
3.36 0.64125 
3.36 0.7695 
3.36 0.89775 
3.36 1.026 
3.36 1.15425 
3.36 1.2825 
3.36 1.41075 
3.36 1.539 
3.36 1.66725 
3.36 1.7955 
3.36 1.92375 
3.36 2.052 
3.36 2.18025 
3.36 2.3085 
3.36 2.43675 
3.36 2.565 
3.36 2.69325 
3.36 2.8215 
3.36 2.94975 
3.36 3.078 
3.36 3.20625 
3.36 3.3345 
3.36 3.46275 
3.36 3.591 
3.36 3.71925 
3.36 3.8475 
3.36 3.97575 
3.36 4.104 
3.36 4.23225 
3.36 4.3605 
3.36 4.48875 
3.36 4.617 
3.36 4.74525 
3.36 4.8735 
3.36 5.00175 
3.36 5.13 
ZONE T="boundary2"
-3.36 5.13 
-3.192 5.13 
-3.024 5.13 
-2.856 5.13 
-2.688 5.13 
-2.52 5.13 
-2.352 5.13 
-2.184 5.13 
-2.016 5.13 
-1.848 5.13 
-1.68 5.13 
-1.512 5.13 
-1.344 5.13 
-1.176 5.13 
-1.008 5.13 
-0.84 5.13 
-0.672 5.13 
-0.504 5.13 
-0.336 5.13 
-0.168 5.13 
-4.44089e-16 5.13 
0.168 5.13 
0.336 5.13 
0.504 5.13 
0.672 5.13 
0.84 5.13 
1.008 5.13 
1.176 5.13 
1.344 5.13 
1.512 5.13 
1.68 5.13 
1.848 5.13 
2.016 5.13 
2.184 5.13 
2.352 5.13 
2.52 5.13 
2.688 5.13 
2.856 5.13 
3.024 5.13 
3.192 5.13 
3.36 5.13 
ZONE T="boundary3"
-3.36 0 
-3.36 0.12825 
-3.36 0.2565 
-3.36 0.38475 
-3.36 0.513 
-3.36 0.64125 
-3.36 0.7695 
-3.36 0.89775 
-3.36 1.026 
-3.36 1.15425 
-3.36 1.2825 
-3.36 1.41075 
-3.36 1.539 
-3.36 1.66725 
-3.36 1.7955 
-3.36 1.92375 
-3.36 2.052 
-3.36 2.18025 
-3.36 2.3085 
-3.36 2.43675 
-3.36 2.565 
-3.36 2.69325 
-3.36 2.8215 
-3.36 2.94975 
-3.36 3.078 
-3.36 3.20625 
-3.36 3.3345 
-3.36 3.46275 
-3.36 3.591 
-3.36 3.71925 
-3.36 3.8475 
-3.36 3.97575 
-3.36 4.104 
-3.36 4.23225 
-3.36 4.3605 
-3.36 4.48875 
-3.36 4.617 
-3.36 4.74525 
-3.36 4.8735 
-3.36 5.00175 
-3.36 5.13 
